WKT,CELLCODE,EOFORIGIN,NOFORIGIN
"POLYGON ((24.220012503369048 36.397158026134584,24.403793937214534 37.288272276658503,25.507026848549121 37.111947652755589,25.310152323361407 36.223411920216599,24.220012503369048 36.397158026134584))",100kmE56N16,5600000,1600000
"POLYGON ((24.403793937214534 37.288272276658503,24.594446822001419 38.1777604839546,25.711222071564833 37.998759055987634,25.507026848549121 37.111947652755589,24.403793937214534 37.288272276658503))",100kmE56N17,5600000,1700000
"POLYGON ((24.594446822001419 38.1777604839546,24.792311202886921 39.065647758126573,25.923096773439131 38.883866420726868,25.711222071564833 37.998759055987634,24.594446822001419 38.1777604839546))",100kmE56N18,5600000,1800000
"POLYGON ((24.792311202886921 39.065647758126573,24.997751187431053 39.951956454935534,26.143034843110787 39.767286958592862,25.923096773439131 38.883866420726868,24.792311202886921 39.065647758126573))",100kmE56N19,5600000,1900000
"POLYGON ((24.997751187431053 39.951956454935534,25.211157006728143 40.836705998765709,26.371447394800388 40.649034598783729,26.143034843110787 39.767286958592862,24.997751187431053 39.951956454935534))",100kmE56N20,5600000,2000000
"POLYGON ((25.211157006728143 40.836705998765709,25.432947291532741 41.719912682139658,26.608775102084895 41.529119758911513,26.371447394800388 40.649034598783729,25.211157006728143 40.836705998765709))",100kmE56N21,5600000,2100000
"POLYGON ((25.432947291532741 41.719912682139658,25.663571589182723 42.601589438986849,26.855490774034671 42.407549086841613,26.608775102084895 41.529119758911513,25.432947291532741 41.719912682139658))",100kmE56N22,5600000,2200000
"POLYGON ((24.589461407580952 32.651521617260016,24.760202561100311 33.547213285540131,25.80962152495043 33.368485111950108,25.627626964237592 32.475168513392276,24.589461407580952 32.651521617260016))",100kmE57N12,5700000,1200000
"POLYGON ((24.760202561100311 33.547213285540131,24.937044417665195 34.441071966847737,25.998087449420822 34.259882116694961,25.80962152495043 33.368485111950108,24.760202561100311 33.547213285540131))",100kmE57N13,5700000,1300000
"POLYGON ((24.937044417665195 34.441071966847737,25.120262899774787 35.333128668325116,26.193314677902883 35.149386627221553,25.998087449420822 34.259882116694961,24.937044417665195 34.441071966847737))",100kmE57N14,5700000,1400000
"POLYGON ((25.120262899774787 35.333128668325116,25.310152323361407 36.223411920216599,26.395612286662065 36.037023018806458,26.193314677902883 35.149386627221553,25.120262899774787 35.333128668325116))",100kmE57N15,5700000,1500000
"POLYGON ((25.310152323361407 36.223411920216599,25.507026848549121 37.111947652755589,26.605309974944984 36.922812800845634,26.395612286662065 36.037023018806458,25.310152323361407 36.223411920216599))",100kmE57N16,5700000,1600000
"POLYGON ((25.507026848549121 37.111947652755589,25.711222071564833 37.998759055987634,26.82275969413574 37.806774456595569,26.605309974944984 36.922812800845634,25.507026848549121 37.111947652755589))",100kmE57N17,5700000,1700000
"POLYGON ((25.711222071564833 37.998759055987634,25.923096773439131 38.883866420726868,27.048337434482026 38.688923262256978,26.82275969413574 37.806774456595569,25.711222071564833 37.998759055987634))",100kmE57N18,5700000,1800000
"POLYGON ((25.923096773439131 38.883866420726868,26.143034843110787 39.767286958592862,27.282445186661707 39.569271083172126,27.048337434482026 38.688923262256978,25.923096773439131 38.883866420726868))",100kmE57N19,5700000,1900000
"POLYGON ((26.371447394800388 40.649034598783729,26.608775102084895 41.529119758911513,27.778001842368663 41.324592774176239,27.525513097599493 40.447826144599219,26.371447394800388 40.649034598783729))",100kmE57N21,5700000,2100000
"POLYGON ((26.608775102084895 41.529119758911513,26.855490774034671 42.407549086841613,28.040405236765295 42.1995711127826,27.778001842368663 41.324592774176239,26.608775102084895 41.529119758911513))",100kmE57N22,5700000,2200000
"POLYGON ((25.627626964237592 32.475168513392276,25.80962152495043 33.368485111950108,26.854846726444954 33.177659302707916,26.661820882362626 32.286860864996299,25.627626964237592 32.475168513392276))",100kmE58N12,5800000,1200000
"POLYGON ((25.80962152495043 33.368485111950108,25.998087449420822 34.259882116694961,27.054701015713388 34.066447002543718,26.854846726444954 33.177659302707916,25.80962152495043 33.368485111950108))",100kmE58N13,5800000,1300000
"POLYGON ((25.998087449420822 34.259882116694961,26.193314677902883 35.149386627221553,27.261686623465835 34.95324700956732,27.054701015713388 34.066447002543718,25.998087449420822 34.259882116694961))",100kmE58N14,5800000,1400000
"POLYGON ((26.193314677902883 35.149386627221553,26.395612286662065 36.037023018806458,27.476126200844622 35.838079392187169,27.261686623465835 34.95324700956732,26.193314677902883 35.149386627221553))",100kmE58N15,5800000,1500000
"POLYGON ((26.395612286662065 36.037023018806458,26.605309974944984 36.922812800845634,27.698363689106884 36.720961082268296,27.476126200844622 35.838079392187169,26.395612286662065 36.037023018806458))",100kmE58N16,5800000,1600000
"POLYGON ((26.605309974944984 36.922812800845634,26.82275969413574 37.806774456595569,27.928765973795201 37.601905694985035,27.698363689106884 36.720961082268296,26.605309974944984 36.922812800845634))",100kmE58N17,5800000,1700000
"POLYGON ((26.82275969413574 37.806774456595569,27.048337434482026 38.688923262256978,28.167724695762374 38.480923326309977,27.928765973795201 37.601905694985035,26.82275969413574 37.806774456595569))",100kmE58N18,5800000,1800000
"POLYGON ((26.661820882362626 32.286860864996299,26.854846726444954 33.177659302707916,27.89565972409757 32.974813656490817,27.691835090404371 32.086672178149954,26.661820882362626 32.286860864996299))",100kmE59N12,5900000,1200000
"POLYGON ((26.854846726444954 33.177659302707916,27.054701015713388 34.066447002543718,28.106655844265219 33.860848984807525,27.89565972409757 32.974813656490817,26.854846726444954 33.177659302707916))",100kmE59N13,5900000,1300000
"POLYGON ((27.054701015713388 34.066447002543718,27.261686623465835 34.95324700956732,28.325138151023015 34.744797027633489,28.106655844265219 33.860848984807525,27.054701015713388 34.066447002543718))",100kmE59N14,5900000,1400000
